Data,Ano,Mes,Mes_Nome,Ano_Mes,Trimestre,Dia_Semana,Dia_Mes,Semana_Ano
2017-03-27,2017,3,Março,2017-03,1,Segunda-feira,27,13
2017-03-28,2017,3,Março,2017-03,1,Terça-feira,28,13
2017-03-29,2017,3,Março,2017-03,1,Quarta-feira,29,13
2017-03-30,2017,3,Março,2017-03,1,Quinta-feira,30,13
2017-03-31,2017,3,Março,2017-03,1,Sexta-feira,31,13
2017-04-01,2017,4,Abril,2017-04,2,Sábado,1,13
2017-04-02,2017,4,Abril,2017-04,2,Domingo,2,13
2017-04-03,2017,4,Abril,2017-04,2,Segunda-feira,3,14
2017-04-04,2017,4,Abril,2017-04,2,Terça-feira,4,14
2017-04-05,2017,4,Abril,2017-04,2,Quarta-feira,5,14
2017-04-06,2017,4,Abril,2017-04,2,Quinta-feira,6,14
2017-04-07,2017,4,Abril,2017-04,2,Sexta-feira,7,14
2017-04-08,2017,4,Abril,2017-04,2,Sábado,8,14
2017-04-09,2017,4,Abril,2017-04,2,Domingo,9,14
2017-04-10,2017,4,Abril,2017-04,2,Segunda-feira,10,15
2017-04-11,2017,4,Abril,2017-04,2,Terça-feira,11,15
2017-04-12,2017,4,Abril,2017-04,2,Quarta-feira,12,15
2017-04-13,2017,4,Abril,2017-04,2,Quinta-feira,13,15
2017-04-14,2017,4,Abril,2017-04,2,Sexta-feira,14,15
2017-04-15,2017,4,Abril,2017-04,2,Sábado,15,15
2017-04-16,2017,4,Abril,2017-04,2,Domingo,16,15
2017-04-17,2017,4,Abril,2017-04,2,Segunda-feira,17,16
2017-04-18,2017,4,Abril,2017-04,2,Terça-feira,18,16
2017-04-19,2017,4,Abril,2017-04,2,Quarta-feira,19,16
2017-04-20,2017,4,Abril,2017-04,2,Quinta-feira,20,16
2017-04-21,2017,4,Abril,2017-04,2,Sexta-feira,21,16
2017-04-22,2017,4,Abril,2017-04,2,Sábado,22,16
2017-04-23,2017,4,Abril,2017-04,2,Domingo,23,16
2017-04-24,2017,4,Abril,2017-04,2,Segunda-feira,24,17
2017-04-25,2017,4,Abril,2017-04,2,Terça-feira,25,17
2017-04-26,2017,4,Abril,2017-04,2,Quarta-feira,26,17
2017-04-27,2017,4,Abril,2017-04,2,Quinta-feira,27,17
2017-04-28,2017,4,Abril,2017-04,2,Sexta-feira,28,17
2017-04-29,2017,4,Abril,2017-04,2,Sábado,29,17
2017-04-30,2017,4,Abril,2017-04,2,Domingo,30,17
2017-05-01,2017,5,Maio,2017-05,2,Segunda-feira,1,18
2017-05-02,2017,5,Maio,2017-05,2,Terça-feira,2,18
2017-05-03,2017,5,Maio,2017-05,2,Quarta-feira,3,18
2017-05-04,2017,5,Maio,2017-05,2,Quinta-feira,4,18
2017-05-05,2017,5,Maio,2017-05,2,Sexta-feira,5,18
2017-05-06,2017,5,Maio,2017-05,2,Sábado,6,18
2017-05-07,2017,5,Maio,2017-05,2,Domingo,7,18
